alg      instance      rep    t      p   i         
gsat     flat75-1      8      300.09 0   172800    
gsat     flat100-1     8      300.96 0   171000    
alg      instance      rep    t      p   i         
alg      instance      rep    t      p   i         
gsat     par8-5-c      10     300.65 0   64800     
gsat     par8-5-c      11     81.72  202 17528     
gsat     flat50-1      14     300.50 0   199350    
gsat     flat75-1      9      300.23 0   178875    
gsat     flat100-1     9      300.15 0   180000    
gsat     par8-5-c      12     71.62  95  21246     
gsat     par8-5-c      13     21.77  153 9604      
alg      instance      rep    t      p   i         
alg      instance      rep    t      p   i         
gsat     flat50-1      1      60.62  0   35550     
gsat     flat75-1      10     300.09 0   189000    
gsat     flat100-1     10     301.87 0   245700    
gsat     par8-5-c      14     295.67 52  90278     
gsat     flat75-1      11     300.47 0   331425    
gsat     flat100-1     11     300.45 0   344700    
gsat par8-5-c 219.87 113.74
gsat par8-5-c 58.00 66.81
gsat par8-5-c 48,691.00 25,048.91
gsat     flat75-1      12     300.24 0   321975    
gsat flat50-1 245.55 60.24
gsat flat50-1 185.00 165.84
gsat flat50-1 157,268.00 38,542.24
gsat     flat100-1     12     300.66 0   333900    
gsat     flat75-1      13     300.32 0   367875    
gsat     flat100-1     13     300.66 0   375300    
gsat     flat75-1      14     300.44 0   344250    
gsat     flat100-1     14     300.19 0   350100    
